Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,750,8,8
Aying,377,5,5
Baierbrunn,206,0,0
Brunnthal,337,4,4
Feldkirchen,493,6,6
Garching,1374,13,13
Gräfelfing,948,12,12
Grasbrunn,367,0,0
Grünwald,771,7,7
Haar,2074,14,14
Hohenbrunn,473,5,5
Höhenkirchen-Siegertsbrunn,751,6,6
Ismaning,1105,17,17
Kirchheim,734,13,13
Neubiberg,924,7,7
Neuried,519,8,8
Oberhaching,930,6,6
Oberschleißheim,894,8,8
Ottobrunn,1678,13,13
Planegg,709,8,8
Pullach,661,1,1
Putzbrunn,483,12,12
Sauerlach,559,9,9
Schäftlarn,338,4,4
Straßlach-Dingharting,204,2,2
Taufkirchen,1370,10,10
Unterföhring,682,8,8
Unterhaching,1621,12,12
Unterschleißheim,2239,22,22
