Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,548,3,3
Aying,245,4,4
Baierbrunn,140,1,1
Brunnthal,208,3,3
Feldkirchen,327,4,4
Garching,1036,3,3
Gräfelfing,656,4,4
Grasbrunn,251,1,1
Grünwald,555,0,0
Haar,1693,1,1
Hohenbrunn,305,3,3
Höhenkirchen-Siegertsbrunn,481,0,0
Ismaning,783,3,3
Kirchheim,501,0,0
Neubiberg,661,2,2
Neuried,379,1,1
Oberhaching,709,2,2
Oberschleißheim,660,5,5
Ottobrunn,1273,1,1
Planegg,513,3,3
Pullach,534,2,2
Putzbrunn,337,0,0
Sauerlach,311,0,0
Schäftlarn,218,1,1
Straßlach-Dingharting,117,2,2
Taufkirchen,1048,1,1
Unterföhring,552,0,0
Unterhaching,1130,0,0
Unterschleißheim,1683,4,4
