Kommune,Infizierte gesamt,Fälle seit Vortagsmeldung
Aschheim,438,0
Aying,192,0
Baierbrunn,125,0
Brunnthal,171,0
Feldkirchen,248,0
Garching,827,0
Gräfelfing,540,0
Grasbrunn,210,0
Grünwald,496,0
Haar,1424,0
Hohenbrunn,252,0
Höhenkirchen-Siegertsbrunn,398,0
Ismaning,665,0
Kirchheim,421,0
Neubiberg,545,0
Neuried,309,0
Oberhaching,618,0
Oberschleißheim,538,0
Ottobrunn,995,0
Planegg,440,0
Pullach,475,0
Putzbrunn,288,0
Sauerlach,246,0
Schäftlarn,188,0
Straßlach-Dingharting,104,0
Taufkirchen,868,0
Unterföhring,478,0
Unterhaching,978,0
Unterschleißheim,1374,0
