Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,853,4,4
Aying,439,0,0
Baierbrunn,250,2,2
Brunnthal,391,0,0
Feldkirchen,569,4,4
Garching,1575,12,12
Gräfelfing,1088,7,7
Grasbrunn,402,4,4
Grünwald,898,6,6
Haar,2292,10,10
Hohenbrunn,556,0,0
Höhenkirchen-Siegertsbrunn,894,3,3
Ismaning,1307,10,10
Kirchheim,857,3,3
Neubiberg,1035,3,3
Neuried,596,3,3
Oberhaching,1056,6,6
Oberschleißheim,1015,7,7
Ottobrunn,1891,4,4
Planegg,799,2,2
Pullach,736,4,4
Putzbrunn,523,0,0
Sauerlach,627,3,3
Schäftlarn,431,0,0
Straßlach-Dingharting,227,2,2
Taufkirchen,1579,5,5
Unterföhring,767,1,1
Unterhaching,1844,6,6
Unterschleißheim,2568,6,6
