Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,599,11,11
Aying,302,3,3
Baierbrunn,152,1,1
Brunnthal,245,9,9
Feldkirchen,391,14,14
Garching,1144,7,7
Gräfelfing,764,24,24
Grasbrunn,296,13,13
Grünwald,620,10,10
Haar,1824,27,27
Hohenbrunn,378,17,17
Höhenkirchen-Siegertsbrunn,548,20,20
Ismaning,881,14,14
Kirchheim,563,5,5
Neubiberg,772,17,17
Neuried,427,5,5
Oberhaching,773,15,15
Oberschleißheim,758,14,14
Ottobrunn,1440,31,31
Planegg,582,10,10
Pullach,591,12,12
Putzbrunn,368,9,9
Sauerlach,398,13,13
Schäftlarn,271,8,8
Straßlach-Dingharting,153,5,5
Taufkirchen,1180,15,15
Unterföhring,590,4,4
Unterhaching,1305,24,24
Unterschleißheim,1873,34,34
