Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,846,1,1
Aying,436,2,2
Baierbrunn,245,2,2
Brunnthal,389,3,3
Feldkirchen,559,1,1
Garching,1552,3,3
Gräfelfing,1079,7,7
Grasbrunn,396,4,4
Grünwald,884,3,3
Haar,2279,11,11
Hohenbrunn,551,2,2
Höhenkirchen-Siegertsbrunn,884,4,4
Ismaning,1289,9,9
Kirchheim,851,4,4
Neubiberg,1021,2,2
Neuried,590,2,2
Oberhaching,1042,4,4
Oberschleißheim,998,3,3
Ottobrunn,1881,9,9
Planegg,794,0,0
Pullach,729,1,1
Putzbrunn,522,1,1
Sauerlach,622,2,2
Schäftlarn,430,6,6
Straßlach-Dingharting,224,0,0
Taufkirchen,1561,8,8
Unterföhring,761,4,4
Unterhaching,1825,2,2
Unterschleißheim,2539,10,10
