Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,562,2,2
Aying,271,2,2
Baierbrunn,145,1,1
Brunnthal,218,0,0
Feldkirchen,344,2,2
Garching,1086,13,13
Gräfelfing,686,7,7
Grasbrunn,263,0,0
Grünwald,585,5,5
Haar,1747,2,2
Hohenbrunn,328,3,3
Höhenkirchen-Siegertsbrunn,508,1,1
Ismaning,820,4,4
Kirchheim,518,1,1
Neubiberg,705,6,6
Neuried,398,1,1
Oberhaching,735,4,4
Oberschleißheim,703,7,7
Ottobrunn,1325,6,6
Planegg,535,6,6
Pullach,547,1,1
Putzbrunn,345,1,1
Sauerlach,325,1,1
Schäftlarn,235,3,3
Straßlach-Dingharting,134,0,0
Taufkirchen,1105,3,3
Unterföhring,567,1,1
Unterhaching,1192,9,9
Unterschleißheim,1749,7,7
