Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,713,8,8
Aying,360,4,4
Baierbrunn,198,1,1
Brunnthal,317,6,6
Feldkirchen,473,7,7
Garching,1318,11,11
Gräfelfing,915,11,11
Grasbrunn,362,3,3
Grünwald,730,9,9
Haar,2038,17,17
Hohenbrunn,460,10,10
Höhenkirchen-Siegertsbrunn,710,18,18
Ismaning,1043,16,16
Kirchheim,691,6,6
Neubiberg,899,12,12
Neuried,497,4,4
Oberhaching,904,5,5
Oberschleißheim,866,10,10
Ottobrunn,1631,14,14
Planegg,676,5,5
Pullach,649,4,4
Putzbrunn,449,9,9
Sauerlach,532,9,9
Schäftlarn,323,6,6
Straßlach-Dingharting,197,3,3
Taufkirchen,1330,15,15
Unterföhring,666,2,2
Unterhaching,1592,28,28
Unterschleißheim,2160,27,27
