Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,532,2,2
Aying,236,2,2
Baierbrunn,138,0,0
Brunnthal,203,0,0
Feldkirchen,322,0,0
Garching,1024,5,5
Gräfelfing,651,3,3
Grasbrunn,247,1,1
Grünwald,552,2,2
Haar,1678,4,4
Hohenbrunn,296,2,2
Höhenkirchen-Siegertsbrunn,478,1,1
Ismaning,775,5,5
Kirchheim,497,0,0
Neubiberg,643,2,2
Neuried,372,2,2
Oberhaching,706,0,0
Oberschleißheim,645,3,3
Ottobrunn,1264,4,4
Planegg,506,6,6
Pullach,529,1,1
Putzbrunn,330,0,0
Sauerlach,305,2,2
Schäftlarn,216,1,1
Straßlach-Dingharting,115,0,0
Taufkirchen,1041,1,1
Unterföhring,548,0,0
Unterhaching,1127,1,1
Unterschleißheim,1671,4,4
