Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,566,4,4
Aying,274,3,3
Baierbrunn,146,1,1
Brunnthal,218,0,0
Feldkirchen,348,4,4
Garching,1094,8,8
Gräfelfing,697,11,11
Grasbrunn,267,4,4
Grünwald,588,3,3
Haar,1753,6,6
Hohenbrunn,335,7,7
Höhenkirchen-Siegertsbrunn,510,2,2
Ismaning,822,2,2
Kirchheim,525,7,7
Neubiberg,706,1,1
Neuried,398,1,1
Oberhaching,738,3,3
Oberschleißheim,705,2,2
Ottobrunn,1336,11,11
Planegg,540,5,5
Pullach,550,3,3
Putzbrunn,345,0,0
Sauerlach,328,3,3
Schäftlarn,245,10,10
Straßlach-Dingharting,135,1,1
Taufkirchen,1111,6,6
Unterföhring,571,4,4
Unterhaching,1204,12,12
Unterschleißheim,1757,8,8
