Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,621,12,12
Aying,315,7,7
Baierbrunn,158,4,4
Brunnthal,257,7,7
Feldkirchen,403,6,6
Garching,1160,10,10
Gräfelfing,785,13,13
Grasbrunn,310,9,9
Grünwald,638,15,15
Haar,1854,12,12
Hohenbrunn,397,8,8
Höhenkirchen-Siegertsbrunn,559,7,7
Ismaning,904,16,16
Kirchheim,578,5,5
Neubiberg,791,16,16
Neuried,440,3,3
Oberhaching,796,13,13
Oberschleißheim,772,2,2
Ottobrunn,1464,12,12
Planegg,601,9,9
Pullach,607,8,8
Putzbrunn,386,8,8
Sauerlach,420,9,9
Schäftlarn,280,8,8
Straßlach-Dingharting,166,5,5
Taufkirchen,1201,17,17
Unterföhring,603,7,7
Unterhaching,1347,30,30
Unterschleißheim,1912,10,10
