Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,899,3,3
Aying,463,5,5
Baierbrunn,262,4,4
Brunnthal,428,6,6
Feldkirchen,605,3,3
Garching,1640,6,6
Gräfelfing,1147,11,11
Grasbrunn,425,4,4
Grünwald,962,9,9
Haar,2369,9,9
Hohenbrunn,588,7,7
Höhenkirchen-Siegertsbrunn,929,1,1
Ismaning,1384,10,10
Kirchheim,892,2,2
Neubiberg,1105,9,9
Neuried,627,8,8
Oberhaching,1114,4,4
Oberschleißheim,1073,13,13
Ottobrunn,1990,4,4
Planegg,843,5,5
Pullach,773,6,6
Putzbrunn,537,3,3
Sauerlach,655,4,4
Schäftlarn,468,4,4
Straßlach-Dingharting,237,1,1
Taufkirchen,1638,6,6
Unterföhring,813,9,9
Unterhaching,1945,14,14
Unterschleißheim,2666,19,19
