Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,845,5,5
Aying,434,4,4
Baierbrunn,243,1,1
Brunnthal,386,1,1
Feldkirchen,558,0,0
Garching,1550,14,14
Gräfelfing,1073,3,3
Grasbrunn,392,1,1
Grünwald,882,11,11
Haar,2269,7,7
Hohenbrunn,549,0,0
Höhenkirchen-Siegertsbrunn,880,7,7
Ismaning,1280,9,9
Kirchheim,848,6,6
Neubiberg,1020,6,6
Neuried,588,4,4
Oberhaching,1039,4,4
Oberschleißheim,995,7,7
Ottobrunn,1872,3,3
Planegg,796,11,11
Pullach,729,2,2
Putzbrunn,521,1,1
Sauerlach,620,4,4
Schäftlarn,425,4,4
Straßlach-Dingharting,224,1,1
Taufkirchen,1553,5,5
Unterföhring,757,7,7
Unterhaching,1825,12,12
Unterschleißheim,2530,19,19
