Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,451,0,0
Aying,196,0,0
Baierbrunn,126,0,0
Brunnthal,182,0,0
Feldkirchen,253,0,0
Garching,850,1,1
Gräfelfing,559,0,0
Grasbrunn,216,0,0
Grünwald,509,0,0
Haar,1473,0,0
Hohenbrunn,259,0,0
Höhenkirchen-Siegertsbrunn,418,0,0
Ismaning,681,3,3
Kirchheim,440,0,0
Neubiberg,560,1,1
Neuried,331,0,0
Oberhaching,644,4,4
Oberschleißheim,558,0,0
Ottobrunn,1042,0,0
Planegg,451,1,1
Pullach,490,0,0
Putzbrunn,293,0,0
Sauerlach,254,0,0
Schäftlarn,199,2,2
Straßlach-Dingharting,109,0,0
Taufkirchen,902,0,0
Unterföhring,497,0,0
Unterhaching,1003,4,4
Unterschleißheim,1446,3,3
