Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,825,2,2
Aying,420,4,4
Baierbrunn,236,2,2
Brunnthal,374,2,2
Feldkirchen,550,0,0
Garching,1510,8,8
Gräfelfing,1054,9,9
Grasbrunn,389,1,1
Grünwald,860,3,3
Haar,2236,8,8
Hohenbrunn,536,3,3
Höhenkirchen-Siegertsbrunn,855,3,3
Ismaning,1249,5,5
Kirchheim,821,0,0
Neubiberg,1003,5,5
Neuried,578,4,4
Oberhaching,1014,3,3
Oberschleißheim,958,4,4
Ottobrunn,1840,7,7
Planegg,767,3,3
Pullach,717,1,1
Putzbrunn,515,2,2
Sauerlach,613,2,2
Schäftlarn,410,7,7
Straßlach-Dingharting,218,1,1
Taufkirchen,1518,2,2
Unterföhring,735,4,4
Unterhaching,1784,6,6
Unterschleißheim,2470,13,13
