Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,553,0,0
Aying,251,2,2
Baierbrunn,140,0,0
Brunnthal,211,1,1
Feldkirchen,336,3,3
Garching,1053,6,6
Gräfelfing,664,3,3
Grasbrunn,253,2,2
Grünwald,564,2,2
Haar,1712,9,9
Hohenbrunn,310,3,3
Höhenkirchen-Siegertsbrunn,493,6,6
Ismaning,799,8,8
Kirchheim,506,0,0
Neubiberg,675,4,4
Neuried,387,3,3
Oberhaching,715,0,0
Oberschleißheim,676,5,5
Ottobrunn,1288,6,6
Planegg,522,5,5
Pullach,542,1,1
Putzbrunn,339,0,0
Sauerlach,318,2,2
Schäftlarn,218,0,0
Straßlach-Dingharting,120,1,1
Taufkirchen,1061,4,4
Unterföhring,559,2,2
Unterhaching,1142,8,8
Unterschleißheim,1708,14,14
