Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,456,1,1
Aying,196,0,0
Baierbrunn,126,0,0
Brunnthal,185,1,1
Feldkirchen,256,1,1
Garching,857,0,0
Gräfelfing,567,2,2
Grasbrunn,218,1,1
Grünwald,511,1,1
Haar,1479,4,4
Hohenbrunn,257,0,0
Höhenkirchen-Siegertsbrunn,425,3,3
Ismaning,692,0,0
Kirchheim,440,0,0
Neubiberg,572,3,3
Neuried,334,1,1
Oberhaching,646,0,0
Oberschleißheim,567,2,2
Ottobrunn,1048,0,0
Planegg,454,0,0
Pullach,493,1,1
Putzbrunn,293,0,0
Sauerlach,259,0,0
Schäftlarn,200,0,0
Straßlach-Dingharting,110,0,0
Taufkirchen,906,1,1
Unterföhring,502,0,0
Unterhaching,1014,1,1
Unterschleißheim,1452,0,0
