Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,467,1,1
Aying,198,0,0
Baierbrunn,126,0,0
Brunnthal,190,0,0
Feldkirchen,265,1,1
Garching,890,2,2
Gräfelfing,573,3,3
Grasbrunn,218,0,0
Grünwald,516,2,2
Haar,1518,7,7
Hohenbrunn,262,1,1
Höhenkirchen-Siegertsbrunn,432,0,0
Ismaning,704,0,0
Kirchheim,450,4,4
Neubiberg,584,0,0
Neuried,338,1,1
Oberhaching,655,1,1
Oberschleißheim,583,1,1
Ottobrunn,1076,4,4
Planegg,463,4,4
Pullach,504,0,0
Putzbrunn,299,0,0
Sauerlach,266,0,0
Schäftlarn,201,0,0
Straßlach-Dingharting,114,1,1
Taufkirchen,944,4,4
Unterföhring,519,3,3
Unterhaching,1034,3,3
Unterschleißheim,1482,3,3
