Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,522,1,1
Aying,225,2,2
Baierbrunn,137,2,2
Brunnthal,202,0,0
Feldkirchen,319,0,0
Garching,1011,6,6
Gräfelfing,633,5,5
Grasbrunn,240,2,2
Grünwald,545,1,1
Haar,1649,3,3
Hohenbrunn,289,1,1
Höhenkirchen-Siegertsbrunn,467,4,4
Ismaning,768,2,2
Kirchheim,490,2,2
Neubiberg,626,5,5
Neuried,364,1,1
Oberhaching,703,1,1
Oberschleißheim,637,1,1
Ottobrunn,1240,3,3
Planegg,499,4,4
Pullach,525,2,2
Putzbrunn,323,4,4
Sauerlach,298,2,2
Schäftlarn,214,0,0
Straßlach-Dingharting,115,0,0
Taufkirchen,1035,1,1
Unterföhring,548,0,0
Unterhaching,1115,5,5
Unterschleißheim,1655,2,2
