Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,807,16,16
Aying,407,7,7
Baierbrunn,225,4,4
Brunnthal,352,3,3
Feldkirchen,537,5,5
Garching,1466,27,27
Gräfelfing,1030,19,19
Grasbrunn,388,4,4
Grünwald,842,7,7
Haar,2196,33,33
Hohenbrunn,519,18,18
Höhenkirchen-Siegertsbrunn,840,16,16
Ismaning,1218,22,22
Kirchheim,797,15,15
Neubiberg,988,14,14
Neuried,560,8,8
Oberhaching,986,19,19
Oberschleißheim,935,17,17
Ottobrunn,1799,25,25
Planegg,753,10,10
Pullach,702,8,8
Putzbrunn,509,10,10
Sauerlach,602,8,8
Schäftlarn,370,15,15
Straßlach-Dingharting,215,4,4
Taufkirchen,1488,53,53
Unterföhring,716,13,13
Unterhaching,1750,37,37
Unterschleißheim,2402,38,38
