Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,560,0,0
Aying,269,5,5
Baierbrunn,144,0,0
Brunnthal,218,1,1
Feldkirchen,342,0,0
Garching,1073,7,7
Gräfelfing,679,4,4
Grasbrunn,263,4,4
Grünwald,580,3,3
Haar,1745,3,3
Hohenbrunn,325,5,5
Höhenkirchen-Siegertsbrunn,507,4,4
Ismaning,816,6,6
Kirchheim,517,4,4
Neubiberg,699,7,7
Neuried,397,4,4
Oberhaching,731,4,4
Oberschleißheim,696,3,3
Ottobrunn,1319,10,10
Planegg,529,2,2
Pullach,546,0,0
Putzbrunn,344,4,4
Sauerlach,324,3,3
Schäftlarn,232,6,6
Straßlach-Dingharting,134,6,6
Taufkirchen,1102,16,16
Unterföhring,566,1,1
Unterhaching,1183,12,12
Unterschleißheim,1742,20,20
