Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,4713,2,2
Aying,200,0,0
Baierbrunn,127,0,0
Brunnthal,191,0,0
Feldkirchen,273,0,0
Garching,916,13,13
Gräfelfing,578,1,1
Grasbrunn,220,0,0
Grünwald,517,1,1
Haar,1535,3,3
Hohenbrunn,263,0,0
Höhenkirchen-Siegertsbrunn,440,2,2
Ismaning,707,1,1
Kirchheim,451,0,0
Neubiberg,589,0,0
Neuried,340,1,1
Oberhaching,661,1,1
Oberschleißheim,592,2,2
Ottobrunn,1097,6,6
Planegg,465,0,0
Pullach,506,0,0
Putzbrunn,299,0,0
Sauerlach,270,0,0
Schäftlarn,205,1,1
Straßlach-Dingharting,114,0,0
Taufkirchen,961,2,2
Unterföhring,522,1,1
Unterhaching,1050,2,2
Unterschleißheim,1506,7,7
