Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,478,1,1
Aying,202,0,0
Baierbrunn,129,0,0
Brunnthal,195,1,1
Feldkirchen,283,1,1
Garching,938,3,3
Gräfelfing,589,1,1
Grasbrunn,223,2,2
Grünwald,524,1,1
Haar,1566,2,2
Hohenbrunn,265,0,0
Höhenkirchen-Siegertsbrunn,441,0,0
Ismaning,720,4,4
Kirchheim,459,1,1
Neubiberg,594,0,0
Neuried,345,3,3
Oberhaching,678,3,3
Oberschleißheim,605,0,0
Ottobrunn,1119,7,7
Planegg,476,1,1
Pullach,509,0,0
Putzbrunn,304,0,0
Sauerlach,273,2,2
Schäftlarn,207,1,1
Straßlach-Dingharting,114,0,0
Taufkirchen,985,7,7
Unterföhring,527,0,0
Unterhaching,1063,4,4
Unterschleißheim,1564,7,7
