Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,872,1,1
Aying,453,2,2
Baierbrunn,252,0,0
Brunnthal,410,5,5
Feldkirchen,584,4,4
Garching,1605,4,4
Gräfelfing,1117,8,8
Grasbrunn,413,0,0
Grünwald,933,13,13
Haar,2333,2,2
Hohenbrunn,569,1,1
Höhenkirchen-Siegertsbrunn,910,6,6
Ismaning,1341,6,6
Kirchheim,880,7,7
Neubiberg,1069,7,7
Neuried,611,1,1
Oberhaching,1089,7,7
Oberschleißheim,1038,4,4
Ottobrunn,1943,7,7
Planegg,816,0,0
Pullach,754,2,2
Putzbrunn,529,1,1
Sauerlach,643,0,0
Schäftlarn,454,4,4
Straßlach-Dingharting,234,1,1
Taufkirchen,1606,4,4
Unterföhring,785,2,2
Unterhaching,1888,7,7
Unterschleißheim,2599,1,1
