Kommune,Infizierte gesamt,Fälle seit Vortagsmeldung
Aschheim,447,0
Aying,194,0
Baierbrunn,124,0
Brunnthal,180,0
Feldkirchen,250,0
Garching,842,0
Gräfelfing,548,0
Grasbrunn,209,0
Grünwald,502,0
Haar,1453,1
Hohenbrunn,256,0
Höhenkirchen-Siegertsbrunn,412,1
Ismaning,669,0
Kirchheim,435,1
Neubiberg,556,0
Neuried,327,1
Oberhaching,625,0
Oberschleißheim,550,0
Ottobrunn,1038,0
Planegg,444,0
Pullach,482,1
Putzbrunn,293,0
Sauerlach,248,0
Schäftlarn,193,0
Straßlach-Dingharting,105,0
Taufkirchen,891,2
Unterföhring,494,0
Unterhaching,991,0
Unterschleißheim,1406,0
