Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,502,1,1
Aying,219,7,7
Baierbrunn,131,1,1
Brunnthal,199,1,1
Feldkirchen,309,4,4
Garching,993,2,2
Gräfelfing,608,4,4
Grasbrunn,235,0,0
Grünwald,543,1,1
Haar,1624,1,1
Hohenbrunn,279,1,1
Höhenkirchen-Siegertsbrunn,455,2,2
Ismaning,757,2,2
Kirchheim,482,4,4
Neubiberg,613,3,3
Neuried,357,1,1
Oberhaching,696,3,3
Oberschleißheim,629,1,1
Ottobrunn,1208,5,5
Planegg,491,1,1
Pullach,523,1,1
Putzbrunn,316,0,0
Sauerlach,291,2,2
Schäftlarn,212,1,1
Straßlach-Dingharting,115,0,0
Taufkirchen,1030,1,1
Unterföhring,545,0,0
Unterhaching,1101,3,3
Unterschleißheim,1631,4,4
