Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,771,8,8
Aying,387,3,3
Baierbrunn,211,1,1
Brunnthal,344,2,2
Feldkirchen,512,9,9
Garching,1403,13,13
Gräfelfing,982,10,10
Grasbrunn,379,4,4
Grünwald,794,8,8
Haar,2129,18,18
Hohenbrunn,489,3,3
Höhenkirchen-Siegertsbrunn,791,8,8
Ismaning,1150,16,16
Kirchheim,753,6,6
Neubiberg,951,11,11
Neuried,532,3,3
Oberhaching,946,7,7
Oberschleißheim,908,5,5
Ottobrunn,1739,27,27
Planegg,728,7,7
Pullach,681,11,11
Putzbrunn,489,2,2
Sauerlach,581,10,10
Schäftlarn,345,4,4
Straßlach-Dingharting,208,1,1
Taufkirchen,1412,11,11
Unterföhring,693,3,3
Unterhaching,1675,27,27
Unterschleißheim,2283,22,22
