Kommune,Infizierte gesamt,Fälle seit Vortagsmeldung
Aschheim,438,0
Aying,191,0
Baierbrunn,125,1
Brunnthal,170,0
Feldkirchen,243,1
Garching,821,1
Gräfelfing,539,0
Grasbrunn,207,0
Grünwald,495,0
Haar,1419,3
Hohenbrunn,250,0
Höhenkirchen-Siegertsbrunn,397,0
Ismaning,662,0
Kirchheim,422,0
Neubiberg,547,0
Neuried,308,2
Oberhaching,616,0
Oberschleißheim,533,0
Ottobrunn,975,4
Planegg,438,0
Pullach,472,0
Putzbrunn,286,0
Sauerlach,245,1
Schäftlarn,186,3
Straßlach-Dingharting,104,0
Taufkirchen,866,2
Unterföhring,474,1
Unterhaching,963,5
Unterschleißheim,1362,2
