Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,856,1,1
Aying,444,2,2
Baierbrunn,249,0,0
Brunnthal,396,2,2
Feldkirchen,574,4,4
Garching,1585,4,4
Gräfelfing,1098,4,4
Grasbrunn,404,0,0
Grünwald,903,5,5
Haar,2301,5,5
Hohenbrunn,559,2,2
Höhenkirchen-Siegertsbrunn,896,3,3
Ismaning,1319,6,6
Kirchheim,862,3,3
Neubiberg,1041,3,3
Neuried,604,1,1
Oberhaching,1064,4,4
Oberschleißheim,1022,2,2
Ottobrunn,1905,8,8
Planegg,805,3,3
Pullach,739,3,3
Putzbrunn,525,2,2
Sauerlach,631,4,4
Schäftlarn,440,6,6
Straßlach-Dingharting,232,5,5
Taufkirchen,1588,6,6
Unterföhring,776,5,5
Unterhaching,1862,14,14
Unterschleißheim,2577,10,10
