Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,815,8,8
Aying,413,6,6
Baierbrunn,226,1,1
Brunnthal,357,2,2
Feldkirchen,544,8,8
Garching,1477,12,12
Gräfelfing,1034,9,9
Grasbrunn,388,0,0
Grünwald,849,9,9
Haar,2209,13,13
Hohenbrunn,523,4,4
Höhenkirchen-Siegertsbrunn,842,2,2
Ismaning,1227,9,9
Kirchheim,814,17,17
Neubiberg,993,8,8
Neuried,568,9,9
Oberhaching,997,11,11
Oberschleißheim,941,6,6
Ottobrunn,1811,12,12
Planegg,755,3,3
Pullach,712,10,10
Putzbrunn,515,6,6
Sauerlach,606,5,5
Schäftlarn,380,10,10
Straßlach-Dingharting,215,0,0
Taufkirchen,1502,15,15
Unterföhring,723,7,7
Unterhaching,1760,12,12
Unterschleißheim,2427,27,27
