Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,559,1,1
Aying,262,2,2
Baierbrunn,144,0,0
Brunnthal,217,2,2
Feldkirchen,341,1,1
Garching,1063,5,5
Gräfelfing,669,1,1
Grasbrunn,257,1,1
Grünwald,575,4,4
Haar,1732,2,2
Hohenbrunn,318,0,0
Höhenkirchen-Siegertsbrunn,498,1,1
Ismaning,805,1,1
Kirchheim,510,2,2
Neubiberg,685,5,5
Neuried,393,2,2
Oberhaching,723,3,3
Oberschleißheim,689,5,5
Ottobrunn,1305,2,2
Planegg,528,1,1
Pullach,545,1,1
Putzbrunn,341,2,2
Sauerlach,320,1,1
Schäftlarn,223,0,0
Straßlach-Dingharting,128,5,5
Taufkirchen,1078,5,5
Unterföhring,564,1,1
Unterhaching,1162,8,8
Unterschleißheim,1716,4,4
