Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,823,3,3
Aying,417,3,3
Baierbrunn,234,4,4
Brunnthal,372,2,2
Feldkirchen,550,3,3
Garching,1503,17,17
Gräfelfing,1051,11,11
Grasbrunn,388,0,0
Grünwald,858,6,6
Haar,2228,11,11
Hohenbrunn,533,9,9
Höhenkirchen-Siegertsbrunn,852,7,7
Ismaning,1244,9,9
Kirchheim,823,3,3
Neubiberg,999,4,4
Neuried,576,5,5
Oberhaching,1011,6,6
Oberschleißheim,954,3,3
Ottobrunn,1834,13,13
Planegg,764,7,7
Pullach,716,4,4
Putzbrunn,513,1,1
Sauerlach,611,3,3
Schäftlarn,402,6,6
Straßlach-Dingharting,217,0,0
Taufkirchen,1516,3,3
Unterföhring,731,5,5
Unterhaching,1777,6,6
Unterschleißheim,2458,17,17
