Kommune,Infizierte gesamt,Fälle seit Vortagsmeldung
Aschheim,447,0
Aying,194,0
Baierbrunn,124,0
Brunnthal,181,1
Feldkirchen,250,0
Garching,842,0
Gräfelfing,548,0
Grasbrunn,210,1
Grünwald,502,0
Haar,1453,0
Hohenbrunn,256,0
Höhenkirchen-Siegertsbrunn,413,1
Ismaning,669,0
Kirchheim,436,1
Neubiberg,556,0
Neuried,327,0
Oberhaching,628,3
Oberschleißheim,553,3
Ottobrunn,1039,1
Planegg,446,2
Pullach,482,0
Putzbrunn,293,0
Sauerlach,250,2
Schäftlarn,193,0
Straßlach-Dingharting,105,0
Taufkirchen,892,1
Unterföhring,494,0
Unterhaching,991,0
Unterschleißheim,1407,1
