Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,474,0,0
Aying,200,0,0
Baierbrunn,127,0,0
Brunnthal,193,0,0
Feldkirchen,277,2,2
Garching,925,4,4
Gräfelfing,581,2,2
Grasbrunn,220,0,0
Grünwald,518,1,1
Haar,1545,6,6
Hohenbrunn,262,0,0
Höhenkirchen-Siegertsbrunn,441,1,1
Ismaning,711,4,4
Kirchheim,453,0,0
Neubiberg,590,0,0
Neuried,341,1,1
Oberhaching,666,4,4
Oberschleißheim,598,4,4
Ottobrunn,1103,1,1
Planegg,465,0,0
Pullach,508,2,2
Putzbrunn,299,0,0
Sauerlach,270,0,0
Schäftlarn,206,0,0
Straßlach-Dingharting,114,0,0
Taufkirchen,968,2,2
Unterföhring,525,1,1
Unterhaching,1054,2,2
Unterschleißheim,1523,10,10
