Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,742,15,15
Aying,372,5,5
Baierbrunn,206,3,3
Brunnthal,334,13,13
Feldkirchen,487,7,7
Garching,1361,18,18
Gräfelfing,937,14,14
Grasbrunn,367,2,2
Grünwald,764,21,21
Haar,2060,8,8
Hohenbrunn,468,2,2
Höhenkirchen-Siegertsbrunn,745,20,20
Ismaning,1088,25,25
Kirchheim,721,17,17
Neubiberg,918,12,12
Neuried,511,7,7
Oberhaching,924,6,6
Oberschleißheim,886,13,13
Ottobrunn,1665,16,16
Planegg,702,16,16
Pullach,660,5,5
Putzbrunn,472,9,9
Sauerlach,550,8,8
Schäftlarn,334,8,8
Straßlach-Dingharting,203,3,3
Taufkirchen,1360,18,18
Unterföhring,674,4,4
Unterhaching,1611,11,11
Unterschleißheim,2217,31,31
