Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,524,2,2
Aying,228,3,3
Baierbrunn,137,0,0
Brunnthal,202,0,0
Feldkirchen,321,2,2
Garching,1012,1,1
Gräfelfing,639,6,6
Grasbrunn,243,3,3
Grünwald,545,0,0
Haar,1656,7,7
Hohenbrunn,289,0,0
Höhenkirchen-Siegertsbrunn,472,5,5
Ismaning,769,1,1
Kirchheim,496,6,6
Neubiberg,630,4,4
Neuried,369,5,5
Oberhaching,703,0,0
Oberschleißheim,639,2,2
Ottobrunn,1248,8,8
Planegg,500,1,1
Pullach,525,0,0
Putzbrunn,327,4,4
Sauerlach,300,2,2
Schäftlarn,214,0,0
Straßlach-Dingharting,115,0,0
Taufkirchen,1036,1,1
Unterföhring,548,0,0
Unterhaching,1117,2,2
Unterschleißheim,1660,5,5
