Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,993,12,12
Aying,522,6,6
Baierbrunn,293,4,4
Brunnthal,478,16,16
Feldkirchen,675,14,14
Garching,1842,58,58
Gräfelfing,1297,9,9
Grasbrunn,494,7,7
Grünwald,1118,25,25
Haar,2510,14,14
Hohenbrunn,681,22,22
Höhenkirchen-Siegertsbrunn,1012,17,17
Ismaning,1562,30,30
Kirchheim,987,9,9
Neubiberg,1244,18,18
Neuried,726,12,12
Oberhaching,1212,14,14
Oberschleißheim,1157,12,12
Ottobrunn,2192,27,27
Planegg,928,10,10
Pullach,862,11,11
Putzbrunn,591,9,9
Sauerlach,734,2,2
Schäftlarn,521,9,9
Straßlach-Dingharting,267,6,6
Taufkirchen,1771,22,22
Unterföhring,928,14,14
Unterhaching,2167,30,30
Unterschleißheim,2931,39,39
