Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,658,8,8
Aying,336,6,6
Baierbrunn,167,3,3
Brunnthal,279,3,3
Feldkirchen,427,4,4
Garching,1229,11,11
Gräfelfing,829,9,9
Grasbrunn,335,1,1
Grünwald,662,2,2
Haar,1923,8,8
Hohenbrunn,415,3,3
Höhenkirchen-Siegertsbrunn,600,4,4
Ismaning,954,10,10
Kirchheim,630,3,3
Neubiberg,819,7,7
Neuried,467,1,1
Oberhaching,833,7,7
Oberschleißheim,820,7,7
Ottobrunn,1531,13,13
Planegg,631,6,6
Pullach,617,0,0
Putzbrunn,405,3,3
Sauerlach,472,12,12
Schäftlarn,300,5,5
Straßlach-Dingharting,176,3,3
Taufkirchen,1247,6,6
Unterföhring,628,4,4
Unterhaching,1456,28,28
Unterschleißheim,2013,16,16
