Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,508,6,6
Aying,220,1,1
Baierbrunn,131,0,0
Brunnthal,199,0,0
Feldkirchen,309,0,0
Garching,994,1,1
Gräfelfing,614,6,6
Grasbrunn,234,0,0
Grünwald,543,0,0
Haar,1627,3,3
Hohenbrunn,284,1,1
Höhenkirchen-Siegertsbrunn,457,2,2
Ismaning,762,5,5
Kirchheim,483,1,1
Neubiberg,614,1,1
Neuried,358,1,1
Oberhaching,697,2,2
Oberschleißheim,630,1,1
Ottobrunn,1205,1,1
Planegg,494,3,3
Pullach,523,0,0
Putzbrunn,316,0,0
Sauerlach,293,2,2
Schäftlarn,212,0,0
Straßlach-Dingharting,115,0,0
Taufkirchen,1034,4,4
Unterföhring,547,2,2
Unterhaching,1103,2,2
Unterschleißheim,1637,7,7
