Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,782,11,11
Aying,390,3,3
Baierbrunn,217,6,6
Brunnthal,344,0,0
Feldkirchen,525,14,14
Garching,1417,14,14
Gräfelfing,998,18,18
Grasbrunn,381,2,2
Grünwald,815,22,22
Haar,2145,16,16
Hohenbrunn,489,4,4
Höhenkirchen-Siegertsbrunn,804,13,13
Ismaning,1171,21,21
Kirchheim,763,10,10
Neubiberg,956,6,6
Neuried,540,8,8
Oberhaching,958,12,12
Oberschleißheim,911,3,3
Ottobrunn,1750,13,13
Planegg,740,13,13
Pullach,686,6,6
Putzbrunn,498,9,9
Sauerlach,591,10,10
Schäftlarn,347,2,2
Straßlach-Dingharting,210,2,2
Taufkirchen,1421,9,9
Unterföhring,698,5,5
Unterhaching,1686,12,12
Unterschleißheim,2315,32,32
