Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,577,7,7
Aying,284,2,2
Baierbrunn,150,2,2
Brunnthal,224,4,4
Feldkirchen,363,5,5
Garching,1119,16,16
Gräfelfing,719,10,10
Grasbrunn,275,2,2
Grünwald,596,3,3
Haar,1774,11,11
Hohenbrunn,347,9,9
Höhenkirchen-Siegertsbrunn,519,3,3
Ismaning,846,12,12
Kirchheim,544,12,12
Neubiberg,731,15,15
Neuried,411,6,6
Oberhaching,745,5,5
Oberschleißheim,731,13,13
Ottobrunn,1377,27,27
Planegg,558,9,9
Pullach,564,6,6
Putzbrunn,354,6,6
Sauerlach,350,11,11
Schäftlarn,254,6,6
Straßlach-Dingharting,137,2,2
Taufkirchen,1137,12,12
Unterföhring,580,7,7
Unterhaching,1251,27,27
Unterschleißheim,1796,25,25
