Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1748,43,43
Aying,1002,9,9
Baierbrunn,451,5,5
Brunnthal,827,17,17
Feldkirchen,1280,31,31
Garching,3018,52,52
Gräfelfing,2373,44,44
Grasbrunn,937,12,12
Grünwald,1766,39,39
Haar,4221,61,61
Hohenbrunn,1341,23,23
Höhenkirchen-Siegertsbrunn,1803,35,35
Ismaning,2622,37,37
Kirchheim,1797,27,27
Neubiberg,2134,51,51
Neuried,1309,17,17
Oberhaching,2057,29,29
Oberschleißheim,1875,33,33
Ottobrunn,3718,59,59
Planegg,1607,48,48
Pullach,1393,25,25
Putzbrunn,1077,14,14
Sauerlach,1306,18,18
Schäftlarn,863,19,19
Straßlach-Dingharting,459,12,12
Taufkirchen,3208,54,54
Unterföhring,1758,24,24
Unterhaching,3955,62,62
Unterschleißheim,5033,97,97
