Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,674,10,10
Aying,342,4,4
Baierbrunn,180,5,5
Brunnthal,297,4,4
Feldkirchen,449,9,9
Garching,1268,25,25
Gräfelfing,861,14,14
Grasbrunn,343,2,2
Grünwald,682,11,11
Haar,1964,14,14
Hohenbrunn,429,5,5
Höhenkirchen-Siegertsbrunn,647,25,25
Ismaning,984,12,12
Kirchheim,655,15,15
Neubiberg,834,5,5
Neuried,480,4,4
Oberhaching,854,9,9
Oberschleißheim,835,6,6
Ottobrunn,1575,21,21
Planegg,652,9,9
Pullach,623,0,0
Putzbrunn,418,6,6
Sauerlach,493,6,6
Schäftlarn,310,6,6
Straßlach-Dingharting,180,2,2
Taufkirchen,1276,16,16
Unterföhring,645,10,10
Unterhaching,1501,16,16
Unterschleißheim,2053,20,20
