Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,763,14,14
Aying,384,8,8
Baierbrunn,210,4,4
Brunnthal,342,4,4
Feldkirchen,503,10,10
Garching,1391,17,17
Gräfelfing,973,27,27
Grasbrunn,375,8,8
Grünwald,787,16,16
Haar,2111,36,36
Hohenbrunn,486,13,13
Höhenkirchen-Siegertsbrunn,783,33,33
Ismaning,1136,31,31
Kirchheim,749,14,14
Neubiberg,941,17,17
Neuried,529,10,10
Oberhaching,939,9,9
Oberschleißheim,903,10,10
Ottobrunn,1713,33,33
Planegg,723,14,14
Pullach,670,9,9
Putzbrunn,489,5,5
Sauerlach,571,13,13
Schäftlarn,341,3,3
Straßlach-Dingharting,207,4,4
Taufkirchen,1401,30,30
Unterföhring,691,9,9
Unterhaching,1648,21,21
Unterschleißheim,2263,26,26
