,12_03_2021
Alfter,1316
Bad Honnef,1134
Bornheim,3052
Eitorf,1239
Königswinter,1884
Lohmar,1682
Meckenheim,1473
Much,677
Neunkirchen-Seelscheid,947
Niederkassel,2602
Rheinbach,1342
Ruppichteroth,654
Sankt Augustin,3529
Siegburg,2947
Swisttal,1023
Troisdorf,5590
Wachtberg,1038
Windeck,902
Hennef,2856
