Gemeinde,08.09.2021 | 15:00 Uhr,09.09.2021 | 15:00 Uhr,Differenz
Bergkamen,3086,3100,14
Bönen,1015,1016,1
Fröndenberg/Ruhr,1043,1044,1
Holzwickede,763,765,2
Kamen,2103,2112,9
Lünen,5554,5566,12
Schwerte,1921,1934,13
Selm,1185,1186,1
Unna,2418,2434,16
Werne,1346,1354,8
