Gemeinde,24.08.2021 | 15:00 Uhr,25.08.2021 | 15:00 Uhr,Differenz
Bergkamen,2974,2980,6
Bönen,978,981,3
Fröndenberg/Ruhr,1009,1012,3
Holzwickede,730,737,7
Kamen,2023,2024,1
Lünen,5380,5402,22
Schwerte,1865,1869,4
Selm,1173,1176,3
Unna,2323,2329,6
Werne,1296,1299,3
