Gemeinde,29.09.2021 | 15:00 Uhr,30.09.2021 | 15:00 Uhr,Differenz
Bergkamen,3168,3171,3
Bönen,1031,1032,1
Fröndenberg/Ruhr,1054,1055,1
Holzwickede,779,781,2
Kamen,2166,2169,3
Lünen,5722,5735,13
Schwerte,1996,2000,4
Selm,1209,1212,3
Unna,2530,2536,6
Werne,1373,1373,0
