Gemeinde,20.09.2021 | 15:00 Uhr,21.09.2021 | 15:00 Uhr,Differenz
Bergkamen,3139,3144,5
Bönen,1025,1025,0
Fröndenberg/Ruhr,1051,1051,0
Holzwickede,772,772,0
Kamen,2134,2139,5
Lünen,5651,5662,11
Schwerte,1968,1973,5
Selm,1201,1203,2
Unna,2482,2486,4
Werne,1367,1367,0
