Gemeinde,14.12.2021 | 15:00 Uhr,15.12.2021 | 15:00 Uhr,Differenz
Bergkamen,3772,3785,13
Bönen,1353,1371,18
Fröndenberg/Ruhr,1245,1260,15
Holzwickede,958,965,7
Kamen,2671,2690,19
Lünen,7088,7116,28
Schwerte,2590,2602,12
Selm,1591,1598,7
Unna,3397,3452,55
Werne,1755,1770,15
