,last7,last14,mix,Gemeinde
Bergkamen,29,58,29.0,Bergkamen
Bönen,13,19,13.0,Bönen
Fröndenberg/Ruhr,12,22,12.0,Fröndenberg/Ruhr
Holzwickede,13,19,13.0,Holzwickede
Kamen,34,44,34.0,Kamen
Lünen,106,165,106.0,Lünen
Schwerte,76,109,76.0,Schwerte
Selm,26,43,26.0,Selm
Unna,40,65,40.0,Unna
Werne,31,41,31.0,Werne
