Gemeinde,27.10.2021 | 15:00 Uhr,28.10.2021 | 15:00 Uhr,Differenz
Bergkamen,3254,3262,8
Bönen,1061,1063,2
Fröndenberg/Ruhr,1076,1078,2
Holzwickede,815,816,1
Kamen,2215,2217,2
Lünen,5940,5968,28
Schwerte,2063,2073,10
Selm,1248,1253,5
Unna,2650,2659,9
Werne,1426,1427,1
