Gemeinde,30.08.2021 | 15:00 Uhr,31.08.2021 | 15:00 Uhr,Differenz
Bergkamen,3026,3036,10
Bönen,994,998,4
Fröndenberg/Ruhr,1017,1018,1
Holzwickede,744,757,13
Kamen,2050,2056,6
Lünen,5455,5474,19
Schwerte,1889,1894,5
Selm,1178,1179,1
Unna,2354,2365,11
Werne,1317,1324,7
