Gemeinde,13.09.2021 | 15:00 Uhr,14.09.2021 | 15:00 Uhr,Differenz
Bergkamen,3112,3115,3
Bönen,1017,1020,3
Fröndenberg/Ruhr,1049,1049,0
Holzwickede,766,766,0
Kamen,2118,2125,7
Lünen,5598,5617,19
Schwerte,1940,1944,4
Selm,1191,1192,1
Unna,2445,2456,11
Werne,1358,1359,1
