Gemeinde,08.06.2021 | 15:00 Uhr,09.06.2021 | 15:00 Uhr,Differenz
Bergkamen,2861,2865,4
Bönen,953,953,0
Fröndenberg/Ruhr,981,981,0
Holzwickede,689,689,0
Kamen,1933,1933,0
Lünen,5156,5158,2
Schwerte,1792,1792,0
Selm,1129,1131,2
Unna,2216,2218,2
Werne,1259,1261,2
