Gemeinde,02.06.2021 | 15:00 Uhr,03.06.2021 | 13:00 Uhr,Differenz
Bergkamen,2853,2853,0
Bönen,942,942,0
Fröndenberg/Ruhr,981,981,0
Holzwickede,683,683,0
Kamen,1931,1931,0
Lünen,5139,5139,0
Schwerte,1780,1780,0
Selm,1125,1125,0
Unna,2209,2209,0
Werne,1257,1257,0
