Gemeinde,26.11.2021 | 13:00 Uhr,30.11.2021 | 15:00 Uhr,Differenz
Bergkamen,3496,3522,26
Bönen,1207,1216,9
Fröndenberg/Ruhr,1156,1166,10
Holzwickede,886,894,8
Kamen,2438,2465,27
Lünen,6633,6691,58
Schwerte,2337,2361,24
Selm,1460,1480,20
Unna,2977,3033,56
Werne,1608,1627,19
