Gemeinde,15.12.2021 | 15:00 Uhr,16.12.2021 | 15:00 Uhr,Differenz
Bergkamen,3785,3814,29
Bönen,1371,1381,10
Fröndenberg/Ruhr,1260,1268,8
Holzwickede,965,968,3
Kamen,2690,2703,13
Lünen,7116,7142,26
Schwerte,2602,2625,23
Selm,1598,1609,11
Unna,3452,3477,25
Werne,1770,1784,14
