Gemeinde,01.09.2021 | 15:00 Uhr,02.09.2021 | 15:00 Uhr,Differenz
Bergkamen,3048,3064,16
Bönen,999,1004,5
Fröndenberg/Ruhr,1018,1027,9
Holzwickede,757,759,2
Kamen,2074,2081,7
Lünen,5489,5498,9
Schwerte,1899,1901,2
Selm,1179,1179,0
Unna,2375,2386,11
Werne,1333,1339,6
