Gemeinde,01.10.2021 | 13:00 Uhr,04.10.2021 | 15:00 Uhr,Differenz
Bergkamen,3174,3181,7
Bönen,1032,1032,0
Fröndenberg/Ruhr,1056,1058,2
Holzwickede,781,782,1
Kamen,2169,2169,0
Lünen,5749,5753,4
Schwerte,2004,2008,4
Selm,1212,1216,4
Unna,2540,2549,9
Werne,1373,1379,6
