Gemeinde,30.12.2021 | 15:00 Uhr,03.01.2022 | 15:00 Uhr,Differenz
Bergkamen,3954,3978,24
Bönen,1481,1489,8
Fröndenberg/Ruhr,1310,1321,11
Holzwickede,1018,1023,5
Kamen,2816,2844,28
Lünen,7410,7462,52
Schwerte,2826,2856,30
Selm,1668,1682,14
Unna,3713,3750,37
Werne,1897,1925,28
