Gemeinde,16.02.2022 | 15:00 Uhr,17.02.2022 | 15:00 Uhr,Differenz
Bergkamen,8417,8544,127
Bönen,3166,3209,43
Fröndenberg/Ruhr,2756,2832,76
Holzwickede,2146,2176,30
Kamen,5770,5858,88
Lünen,14493,14670,177
Schwerte,5554,5647,93
Selm,3446,3549,103
Unna,7483,7601,118
Werne,3708,3783,75
