Gemeinde,13.01.2022 | 15:00 Uhr,14.01.2022 | 13:00 Uhr,Differenz
Bergkamen,4250,4297,47
Bönen,1588,1614,26
Fröndenberg/Ruhr,1450,1462,12
Holzwickede,1115,1123,8
Kamen,3053,3073,20
Lünen,7955,8023,68
Schwerte,3146,3186,40
Selm,1874,1904,30
Unna,4036,4085,49
Werne,2096,2121,25
