Gemeinde,11.10.2021 | 15:00 Uhr,12.10.2021 | 15:00 Uhr,Differenz
Bergkamen,3211,3214,3
Bönen,1037,1037,0
Fröndenberg/Ruhr,1061,1061,0
Holzwickede,787,788,1
Kamen,2184,2186,2
Lünen,5798,5825,27
Schwerte,2022,2023,1
Selm,1225,1227,2
Unna,2580,2590,10
Werne,1385,1390,5
